https://gh-proxy.com/https://raw.githubusercontent.com/qinvision/TV/refs/heads/main/TV.txt
████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
























█████████████████████████████████████████████
📺绍兴电信酒店,#genre#
 CHC家庭影院,https://mursor.ottiptv.cc/migu/644368373.m3u8?migutoken=ecf6d0df1ea79e82cb05cd055fcdee20bf69546237c192497b345ea5402654a137b487603a1fc50a1bf0f99e062f37b859e66afa95406fce2afa5645d98e3cf2443a8aca139fe5195624077eeb

重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
五星体育,https://gdcucc.v1.mk/gdcucc/wxty.m3u8
 老故事,https://mursor.ottiptv.cc/migu/884121956.m3u8?migutoken=83550e593d260726799a60ba24c917350946970a6e79105bac7abedab0eaa55a0fbd06918645783d92b720adbf38bf519763df0fd4e8e31ee456cd17943c092afc8390b8f089f90b0f0375f6ac
 发现之旅,https://mursor.ottiptv.cc/migu/624878970.m3u8?migutoken=c485453d279361b5dfb5753acd95900319813fef7c7ba6f462f415218423b68a7a290132b06e238a2164113d6d4403aa3f3cccd34d74ec5bd083330a4d9eabbc09627230717bc4a39eb293fc54
 中学生,https://mursor.ottiptv.cc/migu/708869532.m3u8?migutoken=dd93d29c6ead514bca73c7cbaafee4e13ac8c313ff6edd38c722745b5c16e29bf84b3a98e8f39817e1a4a995d78a6c705fddaefa3eec088ea7506716b7733d6f76a78ab464f924994b0ae00b9c
 大湾区卫视,https://mursor.ottiptv.cc/migu/608917627.m3u8?migutoken=30ea7de77a0233ca9fd214e37d29c0f72403f6713ad3cde23caf18298f74994ae24a88a48e9bc4fae9b9c43a2ab3cd58f8b6f72a7d3d65c4a7bdeeb10b305de47fa837513c708ff6e288880677
 中国农林卫视,https://mursor.ottiptv.cc/migu/956904896.m3u8?migutoken=099fafbbe2fcac29cc40be258691ca828c8bda013971bfbe801a00c28960ec0cea4839b45e271e8405d731158e23f5a62cb155406c104d2049de8319b82f155c9dff7af1948dbd357ea1e98343
 上海新闻综合,https://mursor.ottiptv.cc/migu/651632657.m3u8?migutoken=bdb911262bc3e1bb3a92e89905de9087bec3235b1788a5c174229308b3d6a5651c623fb703a31d63a4bb9b61280ee205dce70b37c022b6999612a6a64ded4600980203f4fe4e4f0df6d11eb28d
 南京新闻综合频道,https://mursor.ottiptv.cc/migu/838109047.m3u8?migutoken=4ee924a1bd86b8703a033a9032b3c109ef4fb1fd29558032d178a070433a54cd92c88d9d38767fab65ef02dc3f9d908762bdc94043d707fcf671720dddb43f2b06fa42aac2a638dfce565e2dd9
 南京教科频道,https://mursor.ottiptv.cc/migu/838153729.m3u8?migutoken=37b2a85eb93b48e4c859d0b3b5251b596870e821f7647bcd8a8b95c5b9307c148bdee2489116bea45fbe4c6867d99222a6a707096a5099f4ad12295ff5398d28978d16dae5627415bcb45b427f
 南京十八频道,https://mursor.ottiptv.cc/migu/838151753.m3u8?migutoken=8ff7e207f99417de2b126fdfc124095ab65050a138c2e795c32ed8929ade2a36abc13517a240a2e666cd57ffe23de7c0ad31abe5130473bc0748b3cb8cba70c8e07dc608ec319483ffee67e868
 体育休闲频道,https://mursor.ottiptv.cc/migu/626064707.m3u8?migutoken=a3a1b0c069845518d4184558745eb0d4751f09c529200dc31af08267410b2a197118ed9e8c1fe4e8efa7899b4b243234dc6aac994e5c91ab03fe087d8f8369eb35e0e0d70ba243cd41ac66c410
 公共新闻频道,https://mursor.ottiptv.cc/migu/626064693.m3u8?migutoken=0caeaf904d91c3374b3c0896d4e1a0fc4ebfe34076fd517c7ee8f1f825a4716161efda73b5b8af0897377809094ef16c2e11c6d82f04adb049cd15ee62d8158b880d26d3a60c2bd4692c5b5fe9
 淮安新闻综合,https://mursor.ottiptv.cc/migu/639731826.m3u8?migutoken=542a28e0bcd61dffd2f5ff319c93c560238ca6811f7a77819d565319f76ecf370eed24d49c2184270679efe5e54d5bde89502c7642146af2b177fe5e9a06c7be8fbd8380b6f2d1fbb2fd1d62fe
 泰州新闻综合,https://mursor.ottiptv.cc/migu/639731818.m3u8?migutoken=7573fba465951426bca252ee5efa3fe6a23fd517c16c69f1f9031523b420b35af10dd7f8d5c575cd0b9d76d154b108d38119ec1e57609b1a43c504a046764ef9199ad3852f8dc3eed88752ff40
 连云港新闻综合,https://mursor.ottiptv.cc/migu/639731715.m3u8?migutoken=e6b8c5aaff74419d9f672073e401c70ae691cd05e6803bb1469508485dea7aa82fbda037d328d62216f6e7d95d0ae7b0ffa5f78dd89cdb8146f128337b4b8af649d225a57ad5620e64b5a973b7
 宿迁新闻综合,https://mursor.ottiptv.cc/migu/639731832.m3u8?migutoken=f6e88dca36b28dedd203056618de8f583cfd9749839f32008fd456f52939d7ed801c602732b35665639ea5e4334c7201016f45fd94e8009c1021b78d6790219558fd7794911765e6df39f09304
 徐州新闻综合,https://mursor.ottiptv.cc/migu/639731747.m3u8?migutoken=e514edae15c4aff416f7efce56a58c20a70e286a0fc8fc07317130dda0f9d3bfb409a1647ae09fb0a02021ba807e99ba8f98c4a7b3de827c4780e0991d0449c70bfda960a3e767df4746ee2e04
 江阴新闻综合,https://mursor.ottiptv.cc/migu/955227979.m3u8?migutoken=041b78e2f5cd11e598471e085aa84e1f6c018d37fb70d40088a10e751fa55c4d1eaa71a477f604b45a74987bb2e68d4fce5eb35f6096cf3ab6f7df5c94a53b004eab5326ee481e3918137e22ae
 南通新闻综合,https://mursor.ottiptv.cc/migu/955227985.m3u8?migutoken=a0f991dc7fb6d8a0197b3275b9746d2b3e041fcd0195918bc165a4530667fcaf4dd21d3fb676ad65cc907d6f6b2c876bab3dfe2dbb21a18bda964aa1dd5c993aa70be0cb35d15f680117700898
 宜兴新闻综合,https://mursor.ottiptv.cc/migu/955227996.m3u8?migutoken=ac76e44417dd2fdc85bdb61739b23b718a09565a045c9ce99ab4fa9c63f4b83c99ad50239c554b5c88a11720341e13cb8b89a6cfad9f314024f57313f7b40dfaf9442c52a32af4ab6f832392de
 苏州新闻综合,https://mursor.ottiptv.cc/migu/639731952.m3u8?migutoken=47b04b0f800d038d78d8f056191328d43aebc3d16efc017d6b6e9d54949ca5f77935b24fb0dc9c6425bca47e6f4c1c5ae4aea4529c1a94522c4de353d4656b5e1402ef74f11ff5c4c70965b06f
 溧水新闻综合,https://mursor.ottiptv.cc/migu/639737327.m3u8?migutoken=2553ccb71fe0c5b5db7c1c14f8fdf81fd2962b542ba2d7096963779b360924421c910527951ff2d230e3adbc96ba7a3dfeb3cfc12d1874f795fa6b30ad98f837d5f268327d9bcd78bb76c5ca6f
 高能悬疑 推理时刻,https://mursor.ottiptv.cc/migu/625133682.m3u8?migutoken=d01e9365e0e67092a303134c3fb8de8f8d0308f258476a4b9db5c8a64513cd889d1a7ac4564c1f700d859f25fefbdaa4d1573a1ab6393b9b3bbe753b5f2dae3c4b27bfe02be174849b560dd6fa
 抗战经典影片,https://mursor.ottiptv.cc/migu/617432318.m3u8?migutoken=8122d44e924f3489d3928584168afdc1cc15efd382109108374e56ceaad7d85b64de97bf994ab9629b0ac80be83c22ed9459aa9747cc08691d31cbcf7ab4eb67b8c75ed433bec7e7d693d3b9d7
 新片放映厅,https://mursor.ottiptv.cc/migu/619495952.m3u8?migutoken=df93a5072f2db24adfb522f09ca14123d5a1865219938389781349f3dae18e1e642f05791b39a90a11f0017f54306601bc0e888e0af0f675fc004058b0c2b92facc683ca26c6bcb3552587e360
 高清大片,https://mursor.ottiptv.cc/migu/629943678.m3u8?migutoken=ef38636ed9429c77c9cb75ad052a96ac295bd55876b60fa69d804e13f201ac0cc993946b4b75e47ae583770ee588e1f8c5b362519ebfe74576747aff953cf0ca24883734b3b9f1ffe66bd5ffc2
 南方影视,https://mursor.ottiptv.cc/migu/614961829.m3u8?migutoken=c5795802f52208ced4c50c58f4aa766a0cca7092773efc3ead80dd33be9c78990b47ac63b733e7431cde665b93047eeb6c72589c07605214b2a791878595657a88bd4115a7d866a88dc4cf62f2
 深度对话,https://mursor.ottiptv.cc/migu/625703337.m3u8?migutoken=70626cb7960e2161fa85374567ddfb7babc6b043ec730319006cceaeab32752b98a2c02cc8b4673d0362b1b85880be616e14755f3361478dbe92ccf22b37ddaae85a8bec5e6117a625c33dcd81
 熊猫频道1,https://mursor.ottiptv.cc/migu/608933610.m3u8?migutoken=f287471ed26452e11df41c465b3ad6d4c75cba2f7ff6b729f918752129e3acbe07b623b66d1757fe46bb7d1966a006dc7e5d2f3347356f937dde4d403fea41ef4ea08572985706f513a70df2c8
 熊猫频道2,https://mursor.ottiptv.cc/migu/608933640.m3u8?migutoken=6e226e3f8d630f826496390278aa2d7d764b28d003ef58db8d7f84923b9663d812cf499fbf15a287ae9ec794c7f591f3df5b4d6cde609fabb4f42ba3e24c8471bdeabfa6d81cf37b6e1b3238f2
 熊猫频道3,https://mursor.ottiptv.cc/migu/608934619.m3u8?migutoken=5844825d2d692c52176845e3fbc2f9e5453b87685bb98c343574c7d742c0690c4935be54a9ef7cbe109a006f6373f3054d1927d160545f36fd473708a1c4a66ba0d3b86950d2629bb889270408
 熊猫频道4,https://mursor.ottiptv.cc/migu/608934721.m3u8?migutoken=308fcb0b55b4ff08ac0e54793548092546c77c75a80ac6b7e7381baa1abc512237e0b5a4fbd99eef39fc90845a6467da13302c9825d974e1e375f906d00de5e2d7d4fb70261749d93e95fafff9
 熊猫频道5,https://mursor.ottiptv.cc/migu/608935104.m3u8?migutoken=dc256d75a1813aaf026e2d74d2649ebcc2d7c30195b824f8c84236fc930cc07ba543514bcf1b59d42acb310d510f518b4ca732ad91dc605779d1273589490b2fc2e98913b79f6e85000bdbf618
 熊猫频道6,https://mursor.ottiptv.cc/migu/608935797.m3u8?migutoken=589a876849986a566a0f07d9955766a0a628e26e8bd06dfde550601da03465635ac72ff46d1d91e0e59b544a6bc4cf19b6a5ab5fe246f7b49cc10feeb40c58f5dca058fcf1072a841fe16b0c03
 熊猫频道7,https://mursor.ottiptv.cc/migu/609169286.m3u8?migutoken=a0dcf42205e20776970968098373a6f8ed49f2b8034acb4f565aa25e8785fa68bd29a666c14109723a23b72e749a6b1eeceb70052c24f721d792ce4f319536bbcab8c323e66c8af64c3eb307d5
 熊猫频道8,https://mursor.ottiptv.cc/migu/609169287.m3u8?migutoken=b35767340693e8b5f527cd943df23d01bde0c4639da69456f7be2b494ad9683d5b002c403f0f28f73cabd8a59ed2ae535d6dd82a4f5631d048f09327ff2b9899f059a4396af865210f67e39d9f
 熊猫频道9,https://mursor.ottiptv.cc/migu/609169226.m3u8?migutoken=14353344099cde289787249af73a601a35b343162042cfef0a28ff6dc1698d476f3a5eb3b7e8dc43a3225e1032274eeabee23a19038f719c30ed4ad2e9bff8ba2d9a502f8446a2ecf2d1dda1a1
 熊猫频道10,https://mursor.ottiptv.cc/migu/609169285.m3u8?migutoken=312ba4d26121c62ef7c6b20b55e315b1edb9b808ed7fe95f1e2e3dea227b4f0d301a95279b484cb79ef619598f5d0f7a0c1d638c98b9fb53a725f588f91cb1a88d05e3f6da2954610d83e1bc2a
 最强综艺趴,https://mursor.ottiptv.cc/migu/629942228.m3u8?migutoken=af461475a4a9886d68d3ba94f8f057e5c4882093d8bb5289ad79734190a41caa139f8e1b7395089251c04fc4656453761a9a6a2835bc3503bb4c6d684a5d9f82adf1d7cdfbfcfbb7a693f56901
 钱塘江,https://mursor.ottiptv.cc/migu/647370520.m3u8?migutoken=a9199aca87b034cdce08ffe40b423a781ce70c14c129d0f13d516914f748f2764885bdab1af0e6cee625b1b4e5a8a9fdda12338ba38c42738c1ccd1f93fb9d14b2123cef9108246654bf47a965
 五环传奇,https://mursor.ottiptv.cc/migu/707671890.m3u8?migutoken=eb7fe8753ed65d2233c7a6be2387348efd443721be76a552b09e7528fae83b2aa88d1291a4812c4563ad59f6a3a571f25f2386b5c2a1d9910172c5016783c3a9dc0723a01b0258eecadbd1662e
 赛事最经典,https://mursor.ottiptv.cc/migu/646596895.m3u8?migutoken=b3d0ab1d6818e90b67d0fdd3bf5c5dbd2b9639b043fce9b26d9e6a4c8fa447eed8ad468d2dbbfb7ebe904cb5f644746e04f505838922170ae7255d550c7ccf4270deb3571040cda78ba2810534
 掼蛋精英赛,https://mursor.ottiptv.cc/migu/631354620.m3u8?migutoken=c7936053e573b6a83716874b60057fc80e709608ae67ef7395ffafa4a450975b922c93ff78f9f588899ba3099d5ca55339c78727e0ad20b67ace8ae4acc19a179b07731de8e5fb836e960a8ed8
 体坛名栏汇,https://mursor.ottiptv.cc/migu/629943305.m3u8?migutoken=6291737197c275ae378cff49e014a503b2f83337cf229175929431609763979d315a2dcb8701aa29852f4bc42fc5160016c780b743fbaf47592c5cb410d07d0db386eee50c053599a3f91812b4
 四海钓鱼,https://mursor.ottiptv.cc/migu/637444975.m3u8?migutoken=966053ee163e31f4bfd9ed3dcd9feb34dba77b7fc93f8873ed999606d83833aa569db3a624c8d08e4d623386493ae9e56e2724fb0c6fae2594f4930fdc7582fd2db88a1f07a3644c7c02a6a939
 咪咕24小时体育台,https://mursor.ottiptv.cc/migu/654102378.m3u8?migutoken=fdcd1b6242035bc520cfddcc47b0da41d3e32b336a94caa7220952ca488c72f04eb904b86d775b6962a0aa9cc45742d81f5eac8d74fdff4873beea6088fb3d75c87f6e1d721c3eb23d3d595727
 CETV1,https://mursor.ottiptv.cc/migu/923287154.m3u8?migutoken=f4bb0fc838af599a438cd905cc95d6fbc1e792a49292858ede15226d9e908998a72bd1e3ccb545102801dd4d7e13d4ac8d5ee240507e1c9ee0befd519d5a93ad5d14136282ff866d27dd765de3
 CETV2,https://mursor.ottiptv.cc/migu/923287211.m3u8?migutoken=604cf6b76a08fb84653f4269840e2df1434712fd24ba3c9dddb69dba11ca7dc128601d988a9d730d46577a7e1423bbc4cc477f4ef0ed03668f2b6fb626a1ef3f997ddb465435494be3d6ad0ea2
 CETV4,https://mursor.ottiptv.cc/migu/923287339.m3u8?migutoken=afe06512e277282704514eaf90f9ed2e1e4bb79a1ce87acd42bb7a6f1fad6f40871da12a95184e1fc6a7fdf2ceda71c929aa280d6a0727f498923c0b388181c43563fd33e9520e789120368e15
█████████████████████████████████████████████
📺港台电视,#genre#
█████████████████████████████████████████████
8TV,http://s1.an94tv.cfd/astro/8tv/AKTV.m3u8
Animax(HK),http://s1.an94tv.cfd/aktv/animaxhk/AKTV.m3u8
AstroFootball,http://s1.an94tv.cfd/astro/CH-0/AKTV.m3u8
AstroSportUHD,http://s1.an94tv.cfd/astro/astrosportuhd/AKTV.m3u8
AXN,http://s1.an94tv.cfd/aktv/axn/AKTV.m3u8
Channel5HD,http://s1.an94tv.cfd/aktv/channel5hd/AKTV.m3u8
Channel8HD,http://s1.an94tv.cfd/aktv/channel8hd/AKTV.m3u8
ChannelUHD,http://s1.an94tv.cfd/aktv/channeluhd/AKTV.m3u8
CNA,http://s1.an94tv.cfd/aktv3/cna/AKTV.m3u8
EuroSport1,http://s1.an94tv.cfd/astro/eurosport1/AKTV.m3u8
EuroSport2,http://s1.an94tv.cfd/astro/eurosport2/AKTV.m3u8
JapanNews24HLIVE,http://s1.an94tv.cfd/aktvjp/japannews24hlive/AKTV.m3u8
LoveNatureHD,http://s1.an94tv.cfd/aktv/lovenaturehd/AKTV.m3u8
PopC,http://s1.an94tv.cfd/aktv/popc/AKTV.m3u8
ROCKAction,http://s1.an94tv.cfd/aktv/rockaction/AKTV.m3u8
SkySportsF1,http://s1.an94tv.cfd/aktv2/skysportsf1/AKTV.m3u8
TNTSPORTS1,http://s1.an94tv.cfd/astro/tntsports1/AKTV.m3u8
TNTSPORTS2,http://s1.an94tv.cfd/astro/tntsports2/AKTV.m3u8
TNTSPORTS3,http://s1.an94tv.cfd/astro/tntsports3/AKTV.m3u8
tvN,http://s1.an94tv.cfd/aktv/tvn/AKTV.m3u8
東森洋片,http://s1.an94tv.cfd/aktv2/CH-2/AKTV.m3u8
翡翠剧集台(北美),http://s1.an94tv.cfd/aktv/CH-18/AKTV.m3u8
鳳凰衛視中文台,http://s1.an94tv.cfd/aktv/CH-3/AKTV.m3u8
鳳凰衛視資訊台,http://s1.an94tv.cfd/aktv/CH-4/AKTV.m3u8
好萊塢電影台,http://s1.an94tv.cfd/aktv2/CH-1/AKTV.m3u8
龍華日韓台,http://s1.an94tv.cfd/taiwan/CH-5/AKTV.m3u8
美亞電影台(HK),http://s1.an94tv.cfd/aktv/hk/AKTV.m3u8
民視,http://s1.an94tv.cfd/taiwan/CH-1/AKTV.m3u8
明珠剧集台(北美),http://s1.an94tv.cfd/aktv/CH-19/AKTV.m3u8
天映电影,http://s1.an94tv.cfd/aktv2/CH-3/AKTV.m3u8
天映經典(1080),http://s1.an94tv.cfd/aktv/1080/AKTV.m3u8
緯來體育台,http://s1.an94tv.cfd/aktv2/CH-0/AKTV.m3u8
無線新聞台,http://s1.an94tv.cfd/aktv/CH-1/AKTV.m3u8
中天亚洲台,http://s1.an94tv.cfd/astro/CH-1/AKTV.m3u8
KLT-靖天國際台,http://s1.an94tv.cfd/taiwan/CH-3/AKTV.m3u8
東森新聞,http://s1.an94tv.cfd/zhongtian/CH-1/AKTV.m3u8
中天新闻台,http://s1.an94tv.cfd/zhongtian/CH-0/AKTV.m3u8
TVBPlus,http://s1.an94tv.cfd/aktv/tvbplus/AKTV.m3u8
TVBS,http://s1.an94tv.cfd/taiwan/tvbs/AKTV.m3u8
TVBS新聞,http://s1.an94tv.cfd/taiwan/tvbs-1/AKTV.m3u8
TVBS新聞,http://s1.an94tv.cfd/tvbs/tvbs/AKTV.m3u8
TVB星河,http://s1.an94tv.cfd/taiwan2/tvb/AKTV.m3u8
翡翠台,http://s1.an94tv.cfd/aktv/CH-0/AKTV.m3u8
翡翠综合台(北美),http://s1.an94tv.cfd/aktv/CH-17/AKTV.m3u8
鳳凰衛視香港台,http://s1.an94tv.cfd/aktv/CH-5/AKTV.m3u8
黃金翡翠台,http://s1.an94tv.cfd/aktv/CH-6/AKTV.m3u8
明珠台,http://s1.an94tv.cfd/aktv/CH-2/AKTV.m3u8
朝鲜恩情台,http://s1.an94tv.cfd/aktv3/CH-0/AKTV.m3u8
民視第一台,http://s1.an94tv.cfd/taiwan/CH-0/AKTV.m3u8
日テレNEWSLIVE,http://s1.an94tv.cfd/aktvjp/ntv/AKTV.m3u8
█████████████████████████████████████████████
📺mytv666,#genre#
█████████████████████████████████████████████
TVBS欢乐台,http://api.mytv666.top/api/hk.php?id=3762336166623866323763356361653833376266313161666333646136363637267469643d74762669643d313538
TVBS欢乐台,http://api.mytv666.top/api/hk.php?id=6236616334353366303862316264353063653232626338383639306330623231267469643d77696e74763132332669643d3731
TVBS精采台,http://api.mytv666.top/api/hk.php?id=3830363432383130613863336265653834636434616138323833633234613230267469643d74762669643d313537
TVBS新闻台,http://api.mytv666.top/api/hk.php?id=6366366232313066623564653734326233383533656239343137313864626639267469643d77696e74763132332669643d3532
爱尔达娱乐,http://api.mytv666.top/api/hk.php?id=3035653866366636306131363162616335323535653161336166626337346133267469643d74762669643d313637
八大第一台,http://api.mytv666.top/api/hk.php?id=3238623934303035353934313834633739393932656236616464353134623838267469643d77696e74763132332669643d3938
八大精彩台,http://api.mytv666.top/api/hk.php?id=3434643962353934663735326130343665373733333532666238666637636236267469643d74762669643d313535
八大综合台,http://api.mytv666.top/api/hk.php?id=6432303036623131376165396235363838636230323933383061356535356232267469643d77696e74763132332669643d3939
东森超视,http://api.mytv666.top/api/hk.php?id=6137396363613066383538393561393837633835393039333966386335623666267469643d77696e74763132332669643d3935
东森电影台,http://api.mytv666.top/api/hk.php?id=3563613433653133623862616531376566383964346437653631326632353735267469643d77696e74763132332669643d3937
东森新闻台,http://api.mytv666.top/api/hk.php?id=3034663439313837653865616166346561376139613235333434396531666564267469643d74762669643d3530
东森新闻台,http://api.mytv666.top/api/hk.php?id=6666323035643663343766316231356134636232653135646535333232336166267469643d77696e74763132332669643d3434
东森综合台,http://api.mytv666.top/api/hk.php?id=6234383261306531303263656431643161316166633036336366633037326530267469643d77696e74763132332669643d3936
非凡新闻,http://api.mytv666.top/api/hk.php?id=6535653061616461623036323237633861356363353266366634613166303734267469643d77696e74763132332669643d3536
凤凰卫视香港台,http://api.mytv666.top/api/hk.php?id=6366393933363838303835353235313030313837656130343336356238356364267469643d74762669643d3232
凤凰卫视中文台,http://api.mytv666.top/api/hk.php?id=3635353536383939393264346132646363626433646461373332353365633339267469643d74762669643d3230
凤凰卫视资讯台,http://api.mytv666.top/api/hk.php?id=3639313932626236616366636537633734323039313738383137613037633739267469643d74762669643d3231
公视,http://api.mytv666.top/api/hk.php?id=3434336138663063376434323465373431346164646563383235353134396562267469643d77696e74763132332669643d3639
公视戏剧,http://api.mytv666.top/api/hk.php?id=6166663738326236646135356364343066353033643135666631306136313965267469643d74762669643d313335
广东体育,http://api.mytv666.top/api/hk.php?id=3635306561306164626438636438373731346432656366353839663866326232267469643d74762669643d3131
广东珠江频道,http://api.mytv666.top/api/hk.php?id=6162313131666165376133396363636237633834663162366130663635663031267469643d74762669643d39
好莱坞电影,http://api.mytv666.top/api/hk.php?id=6266373463666136333137313336333434663535336432643739393566656163267469643d77696e74763132332669643d313033
华视,http://api.mytv666.top/api/hk.php?id=3537333165663764383566623263326364383330316264303565343834386337267469643d77696e74763132332669643d3638
华视,http://api.mytv666.top/api/hk.php?id=3838353863663263646330383163326466643535306539366535303963653963267469643d74762669643d313139
华视新闻,http://api.mytv666.top/api/hk.php?id=3537326339386632386464663735336532316461313764643035633834323661267469643d74762669643d313032
华视新闻台,http://api.mytv666.top/api/hk.php?id=6261363335363330383638353961326461623131616231386263356433316265267469643d77696e74763132332669643d3531
华视新闻台,http://api.mytv666.top/api/hk.php?id=6336363138633563363661326531343237616265653233303539356532363065267469643d74762669643d3537
寰宇新闻台,http://api.mytv666.top/api/hk.php?id=3564653032633337613964616638353465646263396438356462316234373238267469643d77696e74763132332669643d3437
寰宇新闻台,http://api.mytv666.top/api/hk.php?id=6266346662396565336462643964373837326266373730326236353237383536267469643d74762669643d313132
寰宇新闻台湾台,http://api.mytv666.top/api/hk.php?id=3033373433646530353534613238376432643166376430666330623766303633267469643d74762669643d313133
寰宇新闻台湾台,http://api.mytv666.top/api/hk.php?id=3264386336616633313438633165356234343633333835343932323730646666267469643d77696e74763132332669643d3438
寰宇新闻台湾台,http://api.mytv666.top/api/hk.php?id=6663313334653639326536343765613362363865383137386639663930323237267469643d74762669643d3630
靖天欢乐台,http://api.mytv666.top/api/hk.php?id=3839366637653866343562363363376538376632633733353235626162363134267469643d74762669643d313539
靖天日本台,http://api.mytv666.top/api/hk.php?id=6262333561643236323763616135643836386163393966633066613330393130267469643d74762669643d313633
靖天戏剧台,http://api.mytv666.top/api/hk.php?id=6439376364633336386561313339623337393864633730336461636261613535267469643d74762669643d313334
靖天映画,http://api.mytv666.top/api/hk.php?id=3366353563616434393236663337313533636664313136376136663331626566267469643d74762669643d313636
靖天资讯台,http://api.mytv666.top/api/hk.php?id=6639383065333066306334313662336238356630636437666434343762656663267469643d74762669643d313631
靖天综合台,http://api.mytv666.top/api/hk.php?id=3730333133323235653333313763616232336432646539356165303036653662267469643d74762669643d313630
靖洋卡通台,http://api.mytv666.top/api/hk.php?id=6439333435633230343261376137336237646336336138646138643336303965267469643d74762669643d313634
靖洋戏剧台,http://api.mytv666.top/api/hk.php?id=3339666661346639386533613638363831376163336238643537356233633165267469643d74762669643d313333
镜电视新闻台,http://api.mytv666.top/api/hk.php?id=6463663666393262636638326639623730393065356532633436656361353232267469643d77696e74763132332669643d3535
龙华日韩,http://api.mytv666.top/api/hk.php?id=3736613333383334346630626430353238656638393462343032653335616630267469643d74762669643d313639
美亚电影台,http://api.mytv666.top/api/hk.php?id=3734346339316538643237306264336264613563663264306232363539656232267469643d77696e74763132332669643d3237
民视,http://api.mytv666.top/api/hk.php?id=3039313639653531353135383931613266353266353863623032313533613632267469643d74762669643d313136
民视,http://api.mytv666.top/api/hk.php?id=3535663430343962396335386334633135326162666337313938633136663933267469643d77696e74763132332669643d3635
民视旅游台,http://api.mytv666.top/api/hk.php?id=3663636134303964303063353333326433303230353763393836326330643437267469643d77696e74763132332669643d3632
民视台湾台,http://api.mytv666.top/api/hk.php?id=3936623864373237393832636234343734303638633864343932633266353565267469643d77696e74763132332669643d3630
民视台湾台,http://api.mytv666.top/api/hk.php?id=6261653964303931643764396634653232316134666337633531336261373363267469643d74762669643d313131
民视新闻台,http://api.mytv666.top/api/hk.php?id=3866616331333533363464353463346432653139633236633036643261633831267469643d77696e74763132332669643d3538
民视新闻台,http://api.mytv666.top/api/hk.php?id=6333356235396430353565313132653234663436373463386363396139623936267469643d74762669643d313130
民视影剧,http://api.mytv666.top/api/hk.php?id=3737616264346339376163646432313336343463303535303963626531336161267469643d74762669643d313239
民视影剧台,http://api.mytv666.top/api/hk.php?id=3932633963646136396465373830346233643461306137346538363539353136267469643d77696e74763132332669643d3631
民视综艺,http://api.mytv666.top/api/hk.php?id=3336323233613362366336356466306163343537313533386461366539313539267469643d74762669643d313731
民视综艺台,http://api.mytv666.top/api/hk.php?id=3466353364643062353139316130616161376438323237333565653365343633267469643d77696e74763132332669643d3633
年代新闻台,http://api.mytv666.top/api/hk.php?id=3666643635353637663833346366363536386431333931323061356464376332267469643d77696e74763132332669643d3436
視納華仁紀實頻道,http://api.mytv666.top/api/hk.php?id=3733663764303063393331316566396231643232363937646563396431626430267469643d74762669643d313533
台视,http://api.mytv666.top/api/hk.php?id=3131376436636639653166326535623238366237646639393164336336303962267469643d74762669643d313135
台视,http://api.mytv666.top/api/hk.php?id=3635653132623764396265363436643739323138323765393036626237366463267469643d77696e74763132332669643d3636
台视新闻,http://api.mytv666.top/api/hk.php?id=3663373532323635333633666462356635623632313130333233393162303838267469643d74762669643d313031
台视新闻台,http://api.mytv666.top/api/hk.php?id=3734336535623139656265303339663361646637333131663633363331653863267469643d77696e74763132332669643d3439
中视,http://api.mytv666.top/api/hk.php?id=3366353036636664306332393565306231326664383865666337396366353366267469643d77696e74763132332669643d3637
中视,http://api.mytv666.top/api/hk.php?id=3464346135333265303837393831333236363336666134303261386664336234267469643d74762669643d313138
中视经典,http://api.mytv666.top/api/hk.php?id=3130643637316464346664313538393839303063663564663535386230323339267469643d74762669643d313331
中视菁采,http://api.mytv666.top/api/hk.php?id=3265643234663932333564313563356430663036346636303535616139663434267469643d74762669643d313534
中视新闻,http://api.mytv666.top/api/hk.php?id=3935653434333461353033393966666364363031303466346131373436383437267469643d74762669643d313034
中视新闻台,http://api.mytv666.top/api/hk.php?id=6138663230386338366361363064623465353961333963373563343466316639267469643d77696e74763132332669643d3530
中天新闻台,http://api.mytv666.top/api/hk.php?id=3639303839636238623433393637353530386234626331346161646239336166267469643d74762669643d3439
中天新闻台,http://api.mytv666.top/api/hk.php?id=3862366539313935356333316130363734623834353962623032616433353263267469643d77696e74763132332669643d3433
中天亚洲台,http://api.mytv666.top/api/hk.php?id=6230353962323532613838363830373564306164326137336138366430623435267469643d77696e74763132332669643d3738
猪哥亮歌厅秀,http://api.mytv666.top/api/hk.php?id=6334366330373732363432326261363432663630353664313131336133336535267469643d74762669643d313738
█████████████████████████████████████████████
📺douyin,#genre#
█████████████████████████████████████████████
FTV综艺,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-mszyt.flv
东森LIVE,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-dsxw.flv
东森财经新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/1234567890-dscjxw.flv
凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv
凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/fhwszwt-012346789.flv
